A4_W4 A4_W5 A4_W6 A6_W4 A6_W5 A6_W6
522.2 630.3 747.8 742.9 918.2 1081.8
1082 1196 1419.7 1468.9 1744.6 2074
2871.9 3247.3 3666.7 4143.8 4746.5 5372.3
3358 3512.4 3748.7 4838.7 5061.5 5378.9
1299.7 1436.5 1590.5 1862.2 2066.7 2290.4
1351.9 1402.8 1460.5 1969.4 2051.1 2125.8
1351.1 1403.6 1469.4 1967.8 2047 2127.8
515.3 564.9 615.2 741.2 814.5 888
1265.2 1297.6 1336.5 1839.5 1884.8 1936.1
1265.6 1297.9 1337.2 1837.5 1885.3 1936.3
1265.5 1297.9 1336.9 1837 1885.1 1941.8
1280.7 1313.2 1355.1 1856.7 1907.3 1962.2
2725.5 2789.4 2852.3 3985.6 4065.3 4156.4
2725.6 2789.6 2852.2 3985.7 4065.6 4156.3
972.1 1033.6 1093.1 1382.1 1461.5 1541.1
2309.7 2393.6 2476.7 3273.3 3367.9 3461.8
2308.7 2394.2 2476.9 3272.4 3366.8 3462.6
2353.5 2439.9 2524.6 3334.9 3428.7 3525.1
1697 1667 1907 2131 2344 2843
