S6_4bit S6_8bit S7_4bit S7_8bit S8_4bit S8_8bit
22.1184 44.2368 16.5888 33.1776 11.0592 22.1184
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
235.9296 471.8592 176.9472 353.8944 117.9648 235.9296
471.8592 943.7184 353.8944 707.7888 235.9296 471.8592
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
235.9296 471.8592 176.9472 353.8944 117.9648 235.9296
471.8592 943.7184 353.8944 707.7888 235.9296 471.8592
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
117.9648 235.9296 88.4736 176.9472 58.9824 117.9648
0.032 0.064 0.024 0.048 0.016 0.032
