S0 S2 S4 S6 S8
442.368 353.8944 265.4208 176.9472 88.4736
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
4718.592 3774.8736 2831.1552 1887.4368 943.7184
9437.184 7549.7472 5662.3104 3774.8736 1887.4368
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
4718.592 3774.8736 2831.1552 1887.4368 943.7184
9437.184 7549.7472 5662.3104 3774.8736 1887.4368
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592
2359.296 1887.4368 1415.5776 943.7184 471.8592

