ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
5129.798054695129 3028.797898441553 3866.4956763386726 8468.786962330341 3186.3502599298954 4322.7036111056805 5608.293917030096 5909.156054258347 1.613609492778778
2449.480388313532 4480.775836855173 3084.610980004072 5837.115030735731 2829.805873334408 2071.5176686644554 3466.688133776188 5494.087096303701 847.8871732950211
2577.631063759327 3800.2956099808216 3565.863221883774 5259.74927470088 3259.193878620863 1637.826133519411 2907.095942646265 5210.845936089754 1.6240216791629791
2253.649104386568 1520.2161483466625 5546.131003648043 3074.869494885206 2324.6036656200886 3044.2433431744576 3507.766481488943 3079.510871320963 3.0572526156902313
5620.473138988018 1552.2842109203339 2516.7708471417427 6196.999829262495 3346.5591445565224 2123.9562705159187 4633.231554180384 3117.3714250326157 1.6133487224578857
3501.8050111830235 2012.5484466552734 2651.7686434090137 2707.4321173131466 4619.375001639128 1394.672803580761 2320.327553898096 4662.6834012568 1306.366603821516
2062.8878474235535 2032.030913978815 3504.7337040305138 3193.3165341615677 2066.632565110922 2693.4710144996643 3519.164342433214 2552.996128797531 1.6840733587741852
2104.8580296337605 3721.728641539812 3240.1181012392044 2381.033208221197 4154.176879674196 2191.126998513937 2197.1390768885612 2879.4103115797043 3.0600465834140778
3841.411229223013 2390.519268810749 3967.3480764031406 3284.123297780752 2042.3289202153683 2156.0545079410076 3106.960877776146 2920.343969017267 1.6486085951328278
1915.0986149907112 4338.79341930151 2971.556056290865 2248.376104980707 2228.8526967167854 3419.1919490695 3915.2495004236694 4804.575089365244 1041.8986901640892
2418.5342714190483 3117.9941445589066 3992.1970106661324 2382.0758797228336 2179.6452067792416 4588.1556160748005 3066.7908303439617 3505.1403008401394 3.095865249633789
3472.3170660436153 2391.0947516560555 3118.404448032379 3696.0291117429733 2207.455635070801 2141.059674322605 3253.924138844013 3499.2481768131256 3.0865520238876343
2458.6405232548714 3903.6953262984753 3742.810469120741 3712.143898010254 3005.3368397057056 2127.1695010364056 2217.2411158680916 4237.075708806515 3.079082816839218
2482.0512905716896 2166.384067386389 3442.2759525477886 3231.4908131957054 2321.7895440757275 2874.0667179226875 3958.045523613691 2871.3679127395153 818.7382109463215
5217.512659728527 2782.5131081044674 3067.8594671189785 4931.573234498501 2356.1535589396954 3602.9416881501675 3375.8785761892796 3095.810189843178 3.2397545874118805
3750.590216368437 2676.3026788830757 2409.311141818762 5062.400493770838 2648.8664932549 3017.727602273226 3332.230355590582 2879.8835165798664 1.6192346811294556
2289.7153720259666 4036.7566421628003 3310.1718686521053 4010.6881596148014 3002.469576895237 2295.43412104249 3997.286651283503 4274.876732379198 1.6913563013076782
2313.6259615421295 2237.3841516673565 3449.4637697935104 3500.8869506418705 2875.3327019512653 3226.9744761288166 2848.182711750269 3326.804842799902 2524.651549756527
3098.67637231946 1749.1833120584488 5010.772068053484 3933.999743312597 2659.948207437992 3109.754491597414 3322.6954378187656 5794.156510382891 3.074146807193756
2544.3630665540695 1463.2613398134708 2807.938065379858 5364.860575646162 2651.794236153364 2237.680982798338 4604.205675423145 3278.436716645956 1.6767531633377075
3157.5422547757626 3690.7812394201756 3141.0082802176476 6503.7149377167225 3047.284986823797 1524.544134736061 5798.060204833746 3529.596272855997 1.6800686717033386
4287.553317844868 2310.9014332294464 2755.170725286007 5379.064027220011 3309.738114476204 1620.0972720980644 5828.902460634708 3618.501592427492 1801.6673810780048
